id,common_name,scientific_name,date,time,count,longitude,latitude,location,observer,group_name,date_only
369103174,Garden Rose Tortrix,Acleris variegana,2025-08-17,19:14,1,4.996803972222223,52.428705,Waterland - Galggouw,Jelle van 't Veer,Moths,2025-08-17
368983595,Double-striped Pug,Gymnoscelis rufifasciata,2025-08-17,10:03,1,4.939824342727661,52.340933373148374,Amsterdam - Nieuwe Oosterbegraafplaats,Cornelis Splinter,Moths,2025-08-17
368983965,Copper Underwing,Amphipyra pyramidea,2025-08-17,10:06,1,4.9397569,52.3409469,Amsterdam - Nieuwe Oosterbegraafplaats,Cornelis Splinter,Moths,2025-08-17
368984166,,Evergestis extimalis,2025-08-17,10:07,1,4.939829,52.3410177,Amsterdam - Nieuwe Oosterbegraafplaats,Cornelis Splinter,Moths,2025-08-17
368984517,Setaceous Hebrew Character,Xestia c-nigrum,2025-08-17,10:09,3,4.9398063,52.341108,Amsterdam - Nieuwe Oosterbegraafplaats,Cornelis Splinter,Moths,2025-08-17
368984761,,Agriphila tristella,2025-08-17,10:11,2,4.9398481,52.3410241,Amsterdam - Nieuwe Oosterbegraafplaats,Cornelis Splinter,Moths,2025-08-17
368985134,Flounced Rustic,Luperina testacea,2025-08-17,10:14,3,4.9398218,52.341055,Amsterdam - Nieuwe Oosterbegraafplaats,Cornelis Splinter,Moths,2025-08-17
368985509,,Ethmia quadrillella,2025-08-17,10:15,1,4.9398362,52.3410509,Amsterdam - Nieuwe Oosterbegraafplaats,Cornelis Splinter,Moths,2025-08-17
368985790,Gem,Nycterosea obstipata,2025-08-17,10:16,1,4.9398192,52.3409917,Amsterdam - Nieuwe Oosterbegraafplaats,Cornelis Splinter,Moths,2025-08-17
368986368,Orange Swift,Triodia sylvina,2025-08-17,10:20,1,4.9398069,52.3410055,Amsterdam - Nieuwe Oosterbegraafplaats,Cornelis Splinter,Moths,2025-08-17
368986551,Dark Sword-grass,Agrotis ipsilon,2025-08-17,10:21,1,4.9398382,52.3408749,Amsterdam - Nieuwe Oosterbegraafplaats,Cornelis Splinter,Moths,2025-08-17
369842640,Buff-tip,Phalera bucephala,2025-08-17,18:42,1,5.004220307968639,52.34158546019102,Diemen - De Derde Diem,Cathy Wiersema,Moths,2025-08-17
369802212,Vapourer,Orgyia antiqua,2025-08-17,14:41,1,4.9085,52.33089666666667,Amsterdam - Volkstuincomplex Amstelglorie,emma_emeline,Moths,2025-08-17
368969501,Clifden Nonpareil,Catocala fraxini,2025-08-17,07:59,1,4.811095,52.329955,Amsterdam - Nieuwe Meer - Oeverlanden Noord,Peter Schiphof,Moths,2025-08-17
369579963,Box-tree Moth,Cydalima perspectalis,2025-08-17,22:19,1,4.818638,52.252733,Uithoorn,Peter Bruines,Moths,2025-08-17
369532864,Golden-rod Pug,Eupithecia virgaureata,2025-08-17,22:30,1,4.931756593286991,52.22003246872937,Vinkeveen,Johan Barth,Moths,2025-08-17
369532830,,Yponomeuta spec.,2025-08-17,22:34,1,4.931756593286991,52.22003246872937,Vinkeveen,Johan Barth,Moths,2025-08-17
369135668,,Evergestis pallidata,2025-08-17,22:50,1,4.969467,52.475136,Purmerend - Purmerbos,Guido Mattens,Moths,2025-08-17
369293657,Oak carl,Tischeria ekebladella,2025-08-17,14:30,1,4.90949535369873,52.33097076416016,Amsterdam - Volkstuincomplex Amstelglorie,Anna Kreffer,Moths,2025-08-17
369293655,Buff-tip,Phalera bucephala,2025-08-17,14:33,1,4.909491062164307,52.33095932006836,Amsterdam - Volkstuincomplex Amstelglorie,Anna Kreffer,Moths,2025-08-17
369277322,Buff-tip,Phalera bucephala,2025-08-17,13:45,1,4.909835941702633,52.33153993111881,Amsterdam - Volkstuincomplex Amstelglorie,Martin Camphuijsen,Moths,2025-08-17
369277245,,Celypha lacunana,2025-08-17,13:30,1,4.908993642007545,52.33187355668735,Amsterdam - Volkstuincomplex Amstelglorie,Martin Camphuijsen,Moths,2025-08-17
369277202,Vapourer,Orgyia antiqua,2025-08-17,15:30,1,4.90885613423244,52.33101623538766,Amsterdam - Volkstuincomplex Amstelglorie,Martin Camphuijsen,Moths,2025-08-17
369195226,Convolvulus Hawkmoth,Agrius convolvuli,2025-08-17,14:53,1,4.984360449863289,52.277186805286696,Abcoude - Polder Baambrugge,Wiet,Moths,2025-08-17
369221870,Willow Beauty,Peribatodes rhomboidaria,2025-08-17,12:17,1,4.7419703,52.462577799722226,Assendelft - Zuid,Patrick,Moths,2025-08-17
369155527,Rusty Dot Pearl,Udea ferrugalis,2025-08-17,22:29,1,4.931756593286991,52.22003246872937,Vinkeveen,Johan Barth,Moths,2025-08-17
369155525,Heart and Dart,Agrotis exclamationis,2025-08-17,22:33,1,4.931756593286991,52.22003246872937,Vinkeveen,Johan Barth,Moths,2025-08-17
369155524,Vine's Rustic,Hoplodrina ambigua,2025-08-17,22:33,7,4.931756593286991,52.22003246872937,Vinkeveen,Johan Barth,Moths,2025-08-17
369155522,Box-tree Moth,Cydalima perspectalis,2025-08-17,22:34,1,4.931756593286991,52.22003246872937,Vinkeveen,Johan Barth,Moths,2025-08-17
369155520,Small Dusty Wave,Idaea seriata,2025-08-17,22:36,1,4.931756593286991,52.22003246872937,Vinkeveen,Johan Barth,Moths,2025-08-17
369155519,Dingy Footman,Eilema griseola,2025-08-17,22:37,1,4.931756593286991,52.22003246872937,Vinkeveen,Johan Barth,Moths,2025-08-17
369155517,Ruby Tiger,Phragmatobia fuliginosa,2025-08-17,22:38,1,4.931756593286991,52.22003246872937,Vinkeveen,Johan Barth,Moths,2025-08-17
